time,phase,hr,ibi,rrate,ramp,hrbase,ibibase,b.hr,b.ibi,b.rrate,b.ramp,b.hrbase,b.ibibase
61,goal,64.498791,930.25,22.81695,0.000811,68.6811477,874.6273232,89.647812,669.285714,14.022509,0.000251,89.4462967,672.0490033
62,goal,66.459903,902.8,17.497599,0.002188,68.6811477,874.6273232,83.179298,721.333333,12.342077,0.000067,89.4462967,672.0490033
63,goal,66.62965,900.5,17.418355,0.000895,68.6811477,874.6273232,98.916627,606.571429,17.149714,0.000283,89.4462967,672.0490033
64,goal,70.521862,850.8,18.646635,0.001538,68.6811477,874.6273232,82.060634,731.166667,15.822869,0.000091,89.4462967,672.0490033
65,goal,69.316081,865.6,14.684887,0.000224,68.6811477,874.6273232,83.604273,717.666667,14.735481,0,89.4462967,672.0490033
66,goal,69.460523,863.8,15.09602,0.003836,68.6811477,874.6273232,86.248203,695.666667,26.197936,0.000033,89.4462967,672.0490033
67,goal,62.143967,965.5,16.358512,0.00046,68.6811477,874.6273232,90.022506,666.5,19.114214,0.000318,89.4462967,672.0490033
68,goal,64.794816,926,13.565368,0.000061,68.6811477,874.6273232,84.407972,710.833333,9.203098,0.000027,89.4462967,672.0490033
69,goal,65.659882,913.8,16.113132,0.00011,68.6811477,874.6273232,93.085106,644.571429,16.777135,0.000661,89.4462967,672.0490033
70,goal,66.648153,900.25,14.640462,0.000476,68.6811477,874.6273232,80.880701,741.833333,12.255666,0.000052,89.4462967,672.0490033
71,goal,66.006601,909,15.378311,0.000835,68.6811477,874.6273232,91.533181,655.5,16.314557,0.000493,89.4462967,672.0490033
72,goal,64.899946,924.5,12.797638,0.000812,68.6811477,874.6273232,79.277692,756.833333,17.012657,0.000064,89.4462967,672.0490033
73,goal,62.893082,954,17.57575,0.000705,68.6811477,874.6273232,84.606345,709.166667,20.108959,0.000004,89.4462967,672.0490033
74,goal,72.551391,827,17.121902,0.000483,68.6811477,874.6273232,84.985836,706,19.546506,0.000024,89.4462967,672.0490033
75,goal,72.536772,827.166667,15.403409,0.000085,68.6811477,874.6273232,86.559269,693.166667,14.757556,0.000004,89.4462967,672.0490033
76,goal,75.35795,796.2,14.109829,0.002279,68.6811477,874.6273232,85.571666,701.166667,10.830549,0.000005,89.4462967,672.0490033
77,goal,73.637703,814.8,13.38325,0.002745,68.6811477,874.6273232,93.29187,643.142857,16.699854,0.00012,89.4462967,672.0490033
78,goal,70.142623,855.4,15.109353,0.000358,68.6811477,874.6273232,95.584888,627.714286,16.351716,0.000172,89.4462967,672.0490033
