subject,gender,age,motivation,psychometric,math_anxiety,math_self_rating
1,1,22,7,150,3,8
2,0,22,5,140,2,7
3,0,22,7,140,6,4
4,1,23,7,150,2,8
5,1,26,6,130,5,6
6,0,22,6,130,7,3
7,0,24,7,140,2,8
8,0,23,5,130,6,5
9,0,22,4,140,3,7
10,0,22,7,150,5,8
11,0,22,6,140,8,6
12,1,25,6,150,3,8
13,0,24,6,,7,8
14,0,21,6,140,4,8
15,1,22,6,140,7,8
16,0,22,6,140,7,6
17,0,23,6,150,3,8
18,1,24,6,140,6,7
19,0,27,6,150,2,8
20,0,19,7,150,2,8
21,0,18,4,100,9,5
22,1,21,7,130,2,10
23,0,22,7,140,2,10
24,0,27,7,110,5,8
25,0,24,6,130,7,8
26,0,23,5,120,3,7
27,0,19,7,150,5,7
28,0,23,6,120,6,7
29,0,23,6,130,2,7
30,0,22,5,120,10,4
31,0,23,6,140,3,8
32,0,24,6,130,4,7
33,0,24,6,100,4,7
34,0,24,6,80,8,4
35,0,24,7,120,10,3
36,0,23,5,150,8,6
37,0,23,7,130,5,3
38,0,22,5,140,3,8
39,0,21,5,150,4,7
40,0,23,6,130,8,8
41,0,26,7,120,1,2
42,0,28,4,130,6,5
43,0,23,6,130,7,6
44,0,24,5,130,7,6
45,1,28,5,150,1,10
46,0,21,5,,2,8
47,0,23,7,140,1,9
48,1,25,6,140,3,7
49,0,22,5,130,9,5
50,0,20,5,110,3,5
51,1,20,4,140,2,9
52,0,21,6,140,10,6
53,0,24,5,110,8,3
54,0,23,55,,8,1
55,0,23,6,130,3,7
56,0,23,7,,9,7
57,0,19,4,120,6,6
58,0,23,6,150,1,10
59,1,24,6,140,5,7
60,0,26,6,,3,6
61,0,27,7,100,5,3
62,1,24,6,140,1,8
63,1,24,5,140,1,8
64,1,24,5,140,5,8
65,0,25,7,150,2,9
