V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,subject,subj,Q1,rfq1,rfq2,rfq3,rfq4,rfq5,rfq6,rfq7,rfq8,rfq9,rfq10,rfq11,se1,se2,se3,se4,se5,se6,se7,se8,se9,se10,rmq1,rmq2,rmq3,rmq4,rmq5,rmq6,rmq7,rmq8,rmq9,rmq10,rmq11,rmq12,rmq13,rmq14,rmq15,rmq16,rmq17,rmq18,rmq19,rmq20,rmq21,rmq22,rmq23,rmq24,rmq25,rmq26,rmq27,rmq28,rmq29,rmq30,attchk,Q6,age,gender,gender_TEXT,hispanic,race,race_TEXT,relstat,relstat_TEXT,Q12,Q13,Q17,LocationLatitude,LocationLongitude,LocationAccuracy
R_OD706cR7iwZ5kXf,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 10:48,9/30/16 11:28,1,1,201,91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,,0,2,,6,Dating but not living together,how people evaluate how they feel about themselves based on their romantic relationship,nothing. but the mouse stuck to the desk which was somewhat irritating,1,40.80059814,-73.96530151,-1
R_OIqeDfsqFxKQhfb,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 11:28,9/30/16 11:39,1,1,202,109054,1,2,2,4,2,3,2,4,2,2,4,3,6,3,7,6,2,2,7,3,1,6,6,2,3,6,6,4,5,5,5,2,5,1,5,2,5,5,5,2,6,5,5,3,2,5,5,1,2,6,5,6,3,1,22,1,,0,2,,1,,"Almost all questions were related to personality, behavior or attitude. So the hypothesis must be something from this field. I don't think it is specific to students alone","I think the questions were very well done as there were no leading questions, whatsoever. By the end of all the questions, I still am not sure what is the hypothesis being tested, which is a good thing as I cannot be biased now. I did notice one thing though, in the last few questions, there wee more negative options than positive ones. ( I don't know if that was by design but it was something that caught my eye )",1,40.80059814,-73.96530151,-1
R_3e8kwAf4XlxZnF8,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 11:44,9/30/16 11:54,1,1,203,82624,1,5,4,4,4,2,5,4,2,5,1,2,1,7,1,2,7,7,2,7,7,1,5,2,6,2,5,5,3,6,5,1,5,2,2,1,6,3,1,1,2,6,6,5,1,5,3,1,1,5,6,1,3,1,31,1,,0,4,,1,,My best guess is that you're measuring how one's personality affects their attitudes towards things.,"For many sections of the questionnaire, there was an option for ""disagree"", but no ""agree"" option.  Having to choose between ""somewhat agree"" & ""strongly agree"" affected how I answered some of the questions.  There should've been an option for ""agree"".",1,40.80059814,-73.96530151,-1
R_xt4Vz2lQD0QrmjT,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 11:54,9/30/16 12:02,1,1,204,108178,1,2,2,4,2,2,2,4,2,1,4,1,6,1,7,7,1,1,7,2,1,6,5,2,4,6,4,5,5,4,5,5,4,1,3,5,5,5,4,4,6,6,6,4,2,4,4,1,1,6,4,4,3,1,23,2,,0,2,,1,,"Unfortunately, no.","The questions seemed fairly standard for a personality test; I have come across very similar questions with other personality typing tests. On the whole, I completed it with as much fidelity to myself as I could.",1,40.80059814,-73.96530151,-1
R_yluFgRU6psBBJnz,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 12:08,9/30/16 12:14,1,1,205,105139,1,1,4,4,4,2,3,3,4,2,4,2,5,2,6,6,2,2,6,2,3,6,6,1,5,5,5,5,6,6,3,3,4,3,2,3,5,5,4,3,5,3,6,4,3,1,5,3,1,5,6,5,3,1,18,2,,0,5,,6,In a relationship,No,"No, it was interesting to evaluate myself. ",1,40.80059814,-73.96530151,-1
R_BEPJp5GJurR0Kf7,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 12:19,9/30/16 12:38,1,1,206,104953,1,2,2,4,3,4,2,2,2,2,3,2,5,6,5,5,3,6,5,6,5,6,5,3,5,6,6,5,5,5,4,3,5,2,5,2,6,6,1,2,5,6,5,3,3,5,5,4,3,5,5,5,3,1,18,2,,1,5,,1,,"I am not quite sure of what you are testing, however I know it might have to do with someone's desire to thrive vs. actually doing it. Moreover, the questions in the end suggested to me that you might link this to race (specifically Latino/hispano). ","For me it was a little weird the question in the middle of the study that asked me to select somewhat disagree as the answer. I don't think I may have completed any parts improperly, I would probably answer the study the same way if I had to do it again. ",1,40.80059814,-73.96530151,-1
R_tY5zQVkHoqEK8k9,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 12:38,9/30/16 12:44,1,1,207,97708,1,3,2,1,1,2,2,2,2,3,3,4,5,6,5,4,4,5,5,5,4,4,2,3,3,4,2,5,5,2,6,4,6,2,5,5,5,2,3,3,6,6,4,5,3,5,4,2,2,2,2,5,3,1,18,1,,0,5,,1,,"How certain factors (gender, relationship status, race) correlate with self-esteem.","The questions sometimes include words such as ""never"" and ""always"". Sometimes I may say I somewhat agree with a ""never have I been late"" statement because Im usually not late, but technically I should put ""strongly disagree""  if I have been late at least once in my life, so these types of questions are confusing.",1,40.80059814,-73.96530151,-1
R_1msLFZcLuSrl6pI,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 12:49,9/30/16 13:06,1,1,208,109003,1,2,2,4,1,4,2,5,2,2,4,3,6,1,6,6,2,2,7,1,1,7,5,2,5,6,4,3,5,5,5,3,5,2,5,2,4,5,4,2,5,5,4,3,3,2,5,4,6,5,6,6,3,1,23,1,,0,2,,1,,No,No Comments,1,40.80059814,-73.96530151,-1
R_3fvLMOT2oKbb7ku,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 13:06,9/30/16 13:15,1,1,209,93766,1,2,1,3,2,4,1,4,3,2,4,4,5,2,6,5,3,2,6,4,2,5,6,2,5,6,4,5,5,4,5,4,5,2,3,5,5,4,3,2,6,5,5,4,5,5,5,2,2,5,4,5,3,1,18,1,,0,2,,1,,No,No,1,40.80059814,-73.96530151,-1
R_3KHMjsfEHfLCFt5,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 13:15,9/30/16 13:26,1,1,210,210,1,2,2,4,2,3,2,4,2,2,4,3,5,2,6,6,2,2,6,3,2,6,5,3,5,6,3,4,5,6,5,3,4,2,4,5,5,6,4,4,5,5,5,4,3,3,5,3,3,5,5,5,3,1,28,1,,0,2,,1,,no,no,1,40.80059814,-73.96530151,-1
