"","date","hour","time","time_e","regfocus","subj","block","mood_prom","mood_prev","moodrtprom","moodrtprev","trial","tcode","resp","rt","rt_log","trl1","trait_vale","rse","gender","age","filter_.","pred_1","sepred_1"
"97",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,1,"traits     ",1,2824,7.95,22,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"98",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,5,"traits     ",1,1077,6.98,38,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"99",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,14,"traits     ",1,950,6.86,27,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"100",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,15,"traits     ",1,1545,7.34,39,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"101",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,20,"traits     ",1,1190,7.08,35,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"102",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,26,"traits     ",1,1423,7.26,33,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"103",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,27,"traits     ",1,924,6.83,31,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"104",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,28,"traits     ",1,806,6.69,28,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"105",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,32,"traits     ",1,884,6.78,34,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"106",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,39,"traits     ",1,754,6.63,23,-1,20,1,22,"Selected",1246.67619427913,179.895656667479
"269",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,2,"traits     ",1,1061,6.97,28,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"270",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,5,"traits     ",1,1590,7.37,31,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"271",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,7,"traits     ",1,1991,7.6,34,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"272",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,16,"traits     ",1,1285,7.16,27,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"273",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,18,"traits     ",1,1213,7.1,32,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"274",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,24,"traits     ",1,1192,7.08,38,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"275",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,31,"traits     ",1,2214,7.7,35,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"276",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,36,"traits     ",1,1409,7.25,22,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"626",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,2,"traits     ",1,806,6.69,10,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"627",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,6,"traits     ",1,725,6.59,2,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"628",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,10,"traits     ",1,879,6.78,14,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"629",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,12,"traits     ",1,846,6.74,19,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"630",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,17,"traits     ",1,696,6.55,17,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"631",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,22,"traits     ",1,1408,7.25,8,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"632",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,23,"traits     ",1,841,6.73,5,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"633",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,24,"traits     ",1,1651,7.41,12,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"634",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,25,"traits     ",1,666,6.5,4,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"635",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,29,"traits     ",1,872,6.77,20,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"636",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,33,"traits     ",1,683,6.53,15,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"637",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,34,"traits     ",1,881,6.78,9,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"638",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,36,"traits     ",1,1704,7.44,7,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"639",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,37,"traits     ",1,847,6.74,16,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"640",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,38,"traits     ",1,1328,7.19,11,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"641",52906,"12:57       ",1,-1,1,1,2,14,14,2481.33,2796.5,40,"traits     ",1,2560,7.85,6,1,20,1,22,"Selected",1101.33625499759,107.018124232075
"1043",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,1,"traits     ",1,1373,7.22,16,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1044",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,3,"traits     ",1,629,6.44,14,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1045",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,4,"traits     ",1,854,6.75,20,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1046",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,8,"traits     ",1,668,6.5,4,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1047",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,9,"traits     ",1,583,6.37,2,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1048",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,12,"traits     ",1,694,6.54,15,1,19,1,22,"Selected",1152.9205254925,163.411697039282
