,Experiment,SubjectNumber,ItemNumber,RT,Acc,ExpressionValance,Wrd1Valance,Wrd2Valance,NumOfCharecters,Valance
1,1,1,1,1.664304669,1,1.65,0.1,0.6,8,1
2,1,1,2,1.221377124,1,2.05,0.05,1.6,10,1
3,1,1,3,2.001273602,1,-2,1.6,0.5,7,-1
4,1,1,4,1.820673071,1,0.2,0.8,0.2,11,1
5,1,1,5,1.484340481,1,1.15,1.1,1.75,8,1
6,1,1,6,2.282288508,1,-0.2,1.15,0.15,11,-1
7,1,1,7,1.361836549,1,1.05,1.35,1.55,9,1
8,1,1,8,1.491293786,1,0.85,0.9,-0.05,8,1
9,1,1,9,1.381948981,1,1.9,1.2,1.8,12,1
10,1,1,10,1.563975075,1,1.8,1.7,0.315789474,10,1
11,1,1,11,1.262052192,1,-2.684210526,0.05,1.526315789,10,-1
12,1,1,12,0.862001741,1,0.4,0.45,1.4,10,1
13,1,1,13,1.79418429,1,-4.15,0.55,-0.45,8,-1
14,1,1,14,1.127214868,1,-3.75,0.5,0.6,9,-1
15,1,1,15,1.365088026,1,-3.105263158,1.4,1.5,9,-1
16,1,1,16,1.32166244,1,-2.7,1.7,-0.35,10,-1
17,1,1,17,1.794378113,1,-2.15,0.15,1.4,9,-1
18,1,1,18,1.353646342,1,0.2,0.2,-0.1,10,1
19,1,1,19,1.393792835,1,0.95,0.05,0.05,9,1
20,1,1,20,1.193491211,1,-0.1,0,0.25,11,-1
21,1,1,21,1.061503861,1,-4.35,0.15,1.3,10,-1
22,1,1,22,0.78128241,1,-3.1,1.3,0.8,12,-1
23,1,1,23,1.474581677,1,0.35,0.15,-0.35,11,1
24,1,1,24,1.150921361,1,-3.45,-0.75,-0.6,7,-1
25,1,1,25,1.772040244,1,0.75,1.05,1.4,8,1
26,1,1,26,1.081615966,1,0.65,0.2,-0.5,9,1
27,1,1,27,0.86126368,1,-3.85,0,1.55,7,-1
28,1,1,28,1.021264936,1,-3.85,0.95,-0.2,12,-1
29,1,1,29,1.191438898,1,1.95,1.9,1.7,8,1
30,1,1,30,2.042027692,1,-2.25,-0.45,1.65,9,-1
31,1,1,31,0.972154752,1,-4.1,-0.85,0.25,9,-1
32,1,1,32,1.154722406,1,-3.35,0.2,0.45,14,-1
33,1,1,33,1.804827854,1,-1.736842105,-0.8,0.35,10,-1
34,1,1,34,1.032806744,1,-2.25,1.9,-0.1,8,-1
35,1,1,35,1.064754004,1,0.1,-0.5,-0.85,8,1
36,1,1,36,1.043659932,1,-3.45,1.1,-0.25,8,-1
37,1,1,37,1.104342684,1,-3.55,1.8,0.25,8,-1
38,1,1,38,1.595223951,1,-2.55,0,-0.9,10,-1
39,1,1,39,1.001838207,1,-2.05,1,1.6,9,-1
40,1,1,40,0.915859177,1,-0.3,0.85,0.6,10,-1
41,1,1,41,1.040887342,1,0.35,0.842105263,1.5,9,1
42,1,1,42,1.538575184,1,0.3,0.1,1.05,9,1
43,1,1,43,0.984796429,1,-4.7,1.95,1.2,11,-1
44,1,1,44,1.874709662,1,0.85,0.9,1.15,6,1
45,1,1,45,1.865261023,1,1.45,0.3,1.65,10,1
46,1,1,46,1.821053056,1,-2.15,0.15,-0.05,8,-1
47,1,2,1,1.183692417,1,1.65,0.1,0.6,8,1
48,1,2,2,0.927936711,1,2.05,0.05,1.6,10,1
49,1,2,3,1.133551481,1,-2,1.6,0.5,7,-1
50,1,2,4,1.151301865,1,0.2,0.8,0.2,11,1
51,1,2,5,1.011080421,1,1.15,1.1,1.75,8,1
52,1,2,6,1.001341628,1,-0.2,1.15,0.15,11,-1
53,1,2,7,0.953408203,1,1.05,1.35,1.55,9,1
54,1,2,8,0.951424011,1,0.85,0.9,-0.05,8,1
55,1,2,9,1.042743165,1,1.9,1.2,1.8,12,1
56,1,2,10,1.112242094,1,1.8,1.7,0.315789474,10,1
57,1,2,11,0.874580436,1,-2.684210526,0.05,1.526315789,10,-1
58,1,2,12,1.05327153,1,0.4,0.45,1.4,10,1
60,1,2,14,0.832676474,1,-3.75,0.5,0.6,9,-1
61,1,2,15,1.132594331,1,-3.105263158,1.4,1.5,9,-1
62,1,2,16,1.011312323,1,-2.7,1.7,-0.35,10,-1
63,1,2,17,0.848947364,1,-2.15,0.15,1.4,9,-1
64,1,2,18,0.982600669,1,0.2,0.2,-0.1,10,1
65,1,2,19,0.931020839,1,0.95,0.05,0.05,9,1
66,1,2,20,1.011115681,1,-0.1,0,0.25,11,-1
67,1,2,21,1.094425045,1,-4.35,0.15,1.3,10,-1
68,1,2,22,1.38393894,1,-3.1,1.3,0.8,12,-1
69,1,2,23,0.895629267,1,0.35,0.15,-0.35,11,1
70,1,2,24,1.234039455,1,-3.45,-0.75,-0.6,7,-1
71,1,2,25,0.998096857,1,0.75,1.05,1.4,8,1
72,1,2,26,1.233543474,1,0.65,0.2,-0.5,9,1
73,1,2,27,0.96360371,1,-3.85,0,1.55,7,-1
74,1,2,28,1.061514195,1,-3.85,0.95,-0.2,12,-1
75,1,2,29,0.911374955,1,1.95,1.9,1.7,8,1
76,1,2,30,0.871874526,1,-2.25,-0.45,1.65,9,-1
77,1,2,31,0.950359053,1,-4.1,-0.85,0.25,9,-1
78,1,2,32,1.061581,1,-3.35,0.2,0.45,14,-1
79,1,2,33,0.850668417,1,-1.736842105,-0.8,0.35,10,-1
80,1,2,34,1.020989812,1,-2.25,1.9,-0.1,8,-1
81,1,2,35,1.050972692,1,0.1,-0.5,-0.85,8,1
83,1,2,37,0.933497267,1,-3.55,1.8,0.25,8,-1
84,1,2,38,1.002776962,1,-2.55,0,-0.9,10,-1
85,1,2,39,0.892097868,1,-2.05,1,1.6,9,-1
86,1,2,40,1.114691143,1,-0.3,0.85,0.6,10,-1
