prim,Prime.result,target,congruent,operand,distance,subject,rt,OTRate,subjective,presentation_time,addition.place,counter.balance,exclude_from_analysis,filter_$
8,8,9,no,A,-1,1,597,.587301587,0,1700,1,1,FALSE,0
9,9,11,no,A,-2,1,699,.587301587,0,1700,1,1,FALSE,0
8,8,12,no,A,-4,1,700,.587301587,0,1700,1,1,FALSE,0
10,10,12,no,A,-2,1,628,.587301587,0,1700,1,1,FALSE,0
12,12,11,no,A,1,1,768,.587301587,0,1700,1,1,FALSE,0
13,13,12,no,A,1,1,595,.587301587,0,1700,1,1,FALSE,0
12,12,11,no,A,1,1,664,.587301587,0,1700,1,1,FALSE,0
11,11,10,no,A,1,1,803,.587301587,0,1700,1,1,FALSE,0
12,12,11,no,A,1,1,767,.587301587,0,1700,1,1,FALSE,0
13,13,9,no,A,4,1,700,.587301587,0,1700,1,1,FALSE,0
10,10,12,no,A,-2,1,596,.587301587,0,1700,1,1,FALSE,0
13,13,11,no,A,2,1,841,.587301587,0,1700,1,1,FALSE,0
9,9,12,no,A,-3,1,664,.587301587,0,1700,1,1,FALSE,0
11,11,12,no,A,-1,1,737,.587301587,0,1700,1,1,FALSE,0
10,10,14,no,A,-4,1,596,.587301587,0,1700,1,1,FALSE,0
9,9,10,no,A,-1,1,1048,.587301587,0,1700,1,1,FALSE,0
12,12,10,no,A,2,1,628,.587301587,0,1700,1,1,FALSE,0
14,14,13,no,A,1,1,664,.587301587,0,1700,1,1,FALSE,0
11,11,12,no,A,-1,1,737,.587301587,0,1700,1,1,FALSE,0
12,12,8,no,A,4,1,1048,.587301587,0,1700,1,1,FALSE,0
12,12,9,no,A,3,1,700,.587301587,0,1700,1,1,FALSE,0
13,13,10,no,A,3,1,840,.587301587,0,1700,1,1,FALSE,0
9,9,10,no,A,-1,1,560,.587301587,0,1700,1,1,FALSE,0
11,11,12,no,A,-1,1,699,.587301587,0,1700,1,1,FALSE,0
12,12,13,no,A,-1,1,737,.587301587,0,1700,1,1,FALSE,0
13,13,12,no,A,1,1,736,.587301587,0,1700,1,1,FALSE,0
9,9,14,no,A,-5,1,840,.587301587,0,1700,1,1,FALSE,0
10,10,11,no,A,-1,1,873,.587301587,0,1700,1,1,FALSE,0
12,12,8,no,A,4,1,736,.587301587,0,1700,1,1,FALSE,0
11,11,13,no,A,-2,1,976,.587301587,0,1700,1,1,FALSE,0
10,10,12,no,A,-2,1,804,.587301587,0,1700,1,1,FALSE,0
9,9,13,no,A,-4,1,700,.587301587,0,1700,1,1,FALSE,0
11,11,13,no,A,-2,1,804,.587301587,0,1700,1,1,FALSE,0
12,12,13,no,A,-1,1,735,.587301587,0,1700,1,1,FALSE,0
11,11,9,no,A,2,1,700,.587301587,0,1700,1,1,FALSE,0
12,12,10,no,A,2,1,523,.587301587,0,1700,1,1,FALSE,0
13,13,9,no,A,4,1,975,.587301587,0,1700,1,1,FALSE,0
10,10,11,no,A,-1,1,737,.587301587,0,1700,1,1,FALSE,0
11,11,9,no,A,2,1,803,.587301587,0,1700,1,1,FALSE,0
14,14,11,no,A,3,1,804,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,736,.587301587,0,1700,1,1,FALSE,0
10,10,10,yes,A,0,1,596,.587301587,0,1700,1,1,FALSE,0
9,9,9,yes,A,0,1,841,.587301587,0,1700,1,1,FALSE,0
9,9,9,yes,A,0,1,872,.587301587,0,1700,1,1,FALSE,0
10,10,10,yes,A,0,1,700,.587301587,0,1700,1,1,FALSE,0
10,10,10,yes,A,0,1,596,.587301587,0,1700,1,1,FALSE,0
11,11,11,yes,A,0,1,804,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,700,.587301587,0,1700,1,1,FALSE,0
14,14,14,yes,A,0,1,804,.587301587,0,1700,1,1,FALSE,0
11,11,11,yes,A,0,1,804,.587301587,0,1700,1,1,FALSE,0
8,8,8,yes,A,0,1,596,.587301587,0,1700,1,1,FALSE,0
9,9,9,yes,A,0,1,596,.587301587,0,1700,1,1,FALSE,0
11,11,11,yes,A,0,1,804,.587301587,0,1700,1,1,FALSE,0
11,11,11,yes,A,0,1,908,.587301587,0,1700,1,1,FALSE,0
10,10,10,yes,A,0,1,560,.587301587,0,1700,1,1,FALSE,0
11,11,11,yes,A,0,1,804,.587301587,0,1700,1,1,FALSE,0
9,9,9,yes,A,0,1,768,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,700,.587301587,0,1700,1,1,FALSE,0
13,13,13,yes,A,0,1,596,.587301587,0,1700,1,1,FALSE,0
10,10,10,yes,A,0,1,872,.587301587,0,1700,1,1,FALSE,0
11,11,11,yes,A,0,1,803,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,804,.587301587,0,1700,1,1,FALSE,0
8,8,8,yes,A,0,1,840,.587301587,0,1700,1,1,FALSE,0
9,9,9,yes,A,0,1, ,.587301587,0,1700,1,1,FALSE,0
10,10,10,yes,A,0,1,768,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,976,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,735,.587301587,0,1700,1,1,FALSE,0
9,9,9,yes,A,0,1,976,.587301587,0,1700,1,1,FALSE,0
11,11,11,yes,A,0,1,803,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,628,.587301587,0,1700,1,1,FALSE,0
13,13,13,yes,A,0,1, ,.587301587,0,1700,1,1,FALSE,0
13,13,13,yes,A,0,1,699,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,664,.587301587,0,1700,1,1,FALSE,0
11,11,11,yes,A,0,1,839,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,595,.587301587,0,1700,1,1,FALSE,0
14,14,14,yes,A,0,1,767,.587301587,0,1700,1,1,FALSE,0
13,13,13,yes,A,0,1,700,.587301587,0,1700,1,1,FALSE,0
12,12,12,yes,A,0,1,736,.587301587,0,1700,1,1,FALSE,0
13,13,13,yes,A,0,1,769,.587301587,0,1700,1,1,FALSE,0
13,13,13,yes,A,0,1,700,.587301587,0,1700,1,1,FALSE,0
8,8,9,no,A,-1,2,560,.640625,1,1700,2,1,TRUE,0
9,9,11,no,A,-2,2,595,.640625,1,1700,2,1,TRUE,0
8,8,12,no,A,-4,2,596,.640625,1,1700,2,1,TRUE,0
10,10,12,no,A,-2,2,317,.640625,1,1700,2,1,TRUE,0
12,12,11,no,A,1,2,663,.640625,1,1700,2,1,TRUE,0
13,13,12,no,A,1,2,700,.640625,1,1700,2,1,TRUE,0
12,12,11,no,A,1,2,736,.640625,1,1700,2,1,TRUE,0
11,11,10,no,A,1,2,736,.640625,1,1700,2,1,TRUE,0
12,12,11,no,A,1,2,561,.640625,1,1700,2,1,TRUE,0
13,13,9,no,A,4,2,525,.640625,1,1700,2,1,TRUE,0
10,10,12,no,A,-2,2,736,.640625,1,1700,2,1,TRUE,0
13,13,11,no,A,2,2,665,.640625,1,1700,2,1,TRUE,0
9,9,12,no,A,-3,2,176,.640625,1,1700,2,1,TRUE,0
11,11,12,no,A,-1,2,664,.640625,1,1700,2,1,TRUE,0
10,10,14,no,A,-4,2,523,.640625,1,1700,2,1,TRUE,0
9,9,10,no,A,-1,2,595,.640625,1,1700,2,1,TRUE,0
12,12,10,no,A,2,2,768,.640625,1,1700,2,1,TRUE,0
14,14,13,no,A,1,2,561,.640625,1,1700,2,1,TRUE,0
11,11,12,no,A,-1,2,804,.640625,1,1700,2,1,TRUE,0
12,12,8,no,A,4,2,524,.640625,1,1700,2,1,TRUE,0
12,12,9,no,A,3,2,561,.640625,1,1700,2,1,TRUE,0
13,13,10,no,A,3,2,524,.640625,1,1700,2,1,TRUE,0
9,9,10,no,A,-1,2,524,.640625,1,1700,2,1,TRUE,0
11,11,12,no,A,-1,2,628,.640625,1,1700,2,1,TRUE,0
12,12,13,no,A,-1,2,628,.640625,1,1700,2,1,TRUE,0
13,13,12,no,A,1,2,628,.640625,1,1700,2,1,TRUE,0
9,9,14,no,A,-5,2,560,.640625,1,1700,2,1,TRUE,0
10,10,11,no,A,-1,2,769,.640625,1,1700,2,1,TRUE,0
12,12,8,no,A,4,2,596,.640625,1,1700,2,1,TRUE,0
11,11,13,no,A,-2,2,664,.640625,1,1700,2,1,TRUE,0
10,10,12,no,A,-2,2,701,.640625,1,1700,2,1,TRUE,0
9,9,13,no,A,-4,2,768,.640625,1,1700,2,1,TRUE,0
11,11,13,no,A,-2,2,736,.640625,1,1700,2,1,TRUE,0
12,12,13,no,A,-1,2,560,.640625,1,1700,2,1,TRUE,0
11,11,9,no,A,2,2,524,.640625,1,1700,2,1,TRUE,0
12,12,10,no,A,2,2,628,.640625,1,1700,2,1,TRUE,0
13,13,9,no,A,4,2,560,.640625,1,1700,2,1,TRUE,0
10,10,11,no,A,-1,2,596,.640625,1,1700,2,1,TRUE,0
11,11,9,no,A,2,2,596,.640625,1,1700,2,1,TRUE,0
14,14,11,no,A,3,2,664,.640625,1,1700,2,1,TRUE,0
12,12,12,yes,A,0,2,596,.640625,1,1700,2,1,TRUE,0
10,10,10,yes,A,0,2,736,.640625,1,1700,2,1,TRUE,0
9,9,9,yes,A,0,2,524,.640625,1,1700,2,1,TRUE,0
9,9,9,yes,A,0,2,560,.640625,1,1700,2,1,TRUE,0
10,10,10,yes,A,0,2,664,.640625,1,1700,2,1,TRUE,0
10,10,10,yes,A,0,2,908,.640625,1,1700,2,1,TRUE,0
11,11,11,yes,A,0,2,492,.640625,1,1700,2,1,TRUE,0
12,12,12,yes,A,0,2,700,.640625,1,1700,2,1,TRUE,0
14,14,14,yes,A,0,2,736,.640625,1,1700,2,1,TRUE,0
11,11,11,yes,A,0,2,627,.640625,1,1700,2,1,TRUE,0
8,8,8,yes,A,0,2,839,.640625,1,1700,2,1,TRUE,0
9,9,9,yes,A,0,2,560,.640625,1,1700,2,1,TRUE,0
11,11,11,yes,A,0,2,664,.640625,1,1700,2,1,TRUE,0
11,11,11,yes,A,0,2,524,.640625,1,1700,2,1,TRUE,0
10,10,10,yes,A,0,2,701,.640625,1,1700,2,1,TRUE,0
