prime,prime.result,distance,target,operation,congruent,counterbalance,subject,rt,presentation.duration,subjective,objective.test.score,Exclude_from_analysis
3+1+4=,8,2,6,A,no,1,1,396,1000,1,0.532258065,FALSE
1+2+5=,8,2,6,A,no,1,1,569,1000,1,0.532258065,FALSE
2+1+7=,10,4,6,A,no,1,1,440,1000,1,0.532258065,FALSE
2+5+3=,10,4,6,A,no,1,1,418,1000,1,0.532258065,FALSE
3+5+1=,9,2,7,A,no,1,1,688,1000,1,0.532258065,FALSE
1+3+5=,9,2,7,A,no,1,1,516,1000,1,0.532258065,FALSE
3+6+2=,11,4,7,A,no,1,1,537,1000,1,0.532258065,FALSE
2+8+1=,11,4,7,A,no,1,1,494,1000,1,0.532258065,FALSE
2+1+3=,6,-2,8,A,no,1,1,591,1000,1,0.532258065,FALSE
2+3+1=,6,-2,8,A,no,1,1,708,1000,1,0.532258065,FALSE
7+2+3=,12,4,8,A,no,1,1,612,1000,1,0.532258065,FALSE
9+1+2=,12,4,8,A,no,1,1,601,1000,1,0.532258065,FALSE
2+4+1=,7,-2,9,A,no,1,1,741,1000,1,0.532258065,FALSE
4+1+2=,7,-2,9,A,no,1,1,NA,1000,1,0.532258065,FALSE
3+8+2=,13,4,9,A,no,1,1,580,1000,1,0.532258065,FALSE
8+3+2=,13,4,9,A,no,1,1,548,1000,1,0.532258065,FALSE
3+2+1=,6,-4,10,A,no,1,1,494,1000,1,0.532258065,FALSE
3+1+2=,6,-4,10,A,no,1,1,645,1000,1,0.532258065,FALSE
8+1+3=,12,2,10,A,no,1,1,525,1000,1,0.532258065,FALSE
4+3+5=,12,2,10,A,no,1,1,440,1000,1,0.532258065,FALSE
1+2+4=,7,-4,11,A,no,1,1,547,1000,1,0.532258065,FALSE
2+1+4=,7,-4,11,A,no,1,1,742,1000,1,0.532258065,FALSE
4+6+3=,13,2,11,A,no,1,1,527,1000,1,0.532258065,FALSE
7+1+5=,13,2,11,A,no,1,1,548,1000,1,0.532258065,FALSE
2+1+5=,8,-4,12,A,no,1,1,462,1000,1,0.532258065,FALSE
3+4+1=,8,-4,12,A,no,1,1,473,1000,1,0.532258065,FALSE
3+6+1=,10,-2,12,A,no,1,1,NA,1000,1,0.532258065,FALSE
6+3+1=,10,-2,12,A,no,1,1,645,1000,1,0.532258065,FALSE
1+5+3=,9,-4,13,A,no,1,1,645,1000,1,0.532258065,FALSE
1+2+6=,9,-4,13,A,no,1,1,344,1000,1,0.532258065,FALSE
1+4+6=,11,-2,13,A,no,1,1,473,1000,1,0.532258065,FALSE
4+6+1=,11,-2,13,A,no,1,1,451,1000,1,0.532258065,FALSE
1+3+2=,6,0,6,A,yes,1,1,504,1000,1,0.532258065,FALSE
1+2+3=,6,0,6,A,yes,1,1,376,1000,1,0.532258065,FALSE
1+3+2=,6,0,6,A,yes,1,1,483,1000,1,0.532258065,FALSE
1+2+3=,6,0,6,A,yes,1,1,527,1000,1,0.532258065,FALSE
4+2+1=,7,0,7,A,yes,1,1,515,1000,1,0.532258065,FALSE
1+4+2=,7,0,7,A,yes,1,1,397,1000,1,0.532258065,FALSE
4+2+1=,7,0,7,A,yes,1,1,472,1000,1,0.532258065,FALSE
1+4+2=,7,0,7,A,yes,1,1,462,1000,1,0.532258065,FALSE
5+2+1=,8,0,8,A,yes,1,1,515,1000,1,0.532258065,FALSE
5+1+2=,8,0,8,A,yes,1,1,547,1000,1,0.532258065,FALSE
1+5+2=,8,0,8,A,yes,1,1,559,1000,1,0.532258065,FALSE
1+4+3=,8,0,8,A,yes,1,1,526,1000,1,0.532258065,FALSE
2+1+6=,9,0,9,A,yes,1,1,601,1000,1,0.532258065,FALSE
5+1+3=,9,0,9,A,yes,1,1,494,1000,1,0.532258065,FALSE
1+6+2=,9,0,9,A,yes,1,1,612,1000,1,0.532258065,FALSE
3+2+4=,9,0,9,A,yes,1,1,677,1000,1,0.532258065,FALSE
3+5+2=,10,0,10,A,yes,1,1,343,1000,1,0.532258065,FALSE
1+2+7=,10,0,10,A,yes,1,1,516,1000,1,0.532258065,FALSE
7+2+1=,10,0,10,A,yes,1,1,472,1000,1,0.532258065,FALSE
1+5+4=,10,0,10,A,yes,1,1,462,1000,1,0.532258065,FALSE
6+4+1=,11,0,11,A,yes,1,1,709,1000,1,0.532258065,FALSE
4+1+6=,11,0,11,A,yes,1,1,731,1000,1,0.532258065,FALSE
2+6+3=,11,0,11,A,yes,1,1,548,1000,1,0.532258065,FALSE
6+1+4=,11,0,11,A,yes,1,1,344,1000,1,0.532258065,FALSE
1+9+2=,12,0,12,A,yes,1,1,440,1000,1,0.532258065,FALSE
5+6+1=,12,0,12,A,yes,1,1,505,1000,1,0.532258065,FALSE
3+8+1=,12,0,12,A,yes,1,1,310,1000,1,0.532258065,FALSE
9+2+1=,12,0,12,A,yes,1,1,568,1000,1,0.532258065,FALSE
5+6+2=,13,0,13,A,yes,1,1,547,1000,1,0.532258065,FALSE
1+7+5=,13,0,13,A,yes,1,1,590,1000,1,0.532258065,FALSE
5+7+1=,13,0,13,A,yes,1,1,419,1000,1,0.532258065,FALSE
7+5+1=,13,0,13,A,yes,1,1,461,1000,1,0.532258065,FALSE
8-3-4=,1,1,0,S,no,1,1,451,1000,1,0.532258065,FALSE
7-4-2=,1,1,0,S,no,1,1,484,1000,1,0.532258065,FALSE
6-1-2=,3,3,0,S,no,1,1,527,1000,1,0.532258065,FALSE
9-4-2=,3,3,0,S,no,1,1,602,1000,1,0.532258065,FALSE
7-3-4=,0,-1,1,S,no,1,1,784,1000,1,0.532258065,FALSE
5-2-3=,0,-1,1,S,no,1,1,494,1000,1,0.532258065,FALSE
9-2-3=,4,3,1,S,no,1,1,537,1000,1,0.532258065,FALSE
9-2-3=,4,3,1,S,no,1,1,516,1000,1,0.532258065,FALSE
8-1-4=,3,1,2,S,no,1,1,666,1000,1,0.532258065,FALSE
9-1-5=,3,1,2,S,no,1,1,462,1000,1,0.532258065,FALSE
9-3-1=,5,3,2,S,no,1,1,505,1000,1,0.532258065,FALSE
