"","date","hour","time","time_e","regfocus","subj","block","mood_prom","mood_prev","moodrtprom","moodrtprev","trial","tcode","resp","rt","rt_log","trl1","trait_vale","rse","gender","age","filter_.","pred_1","sepred_1"
"269",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,2,"traits     ",1,1061,6.97,28,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"270",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,5,"traits     ",1,1590,7.37,31,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"271",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,7,"traits     ",1,1991,7.6,34,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"272",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,16,"traits     ",1,1285,7.16,27,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"273",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,18,"traits     ",1,1213,7.1,32,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"274",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,24,"traits     ",1,1192,7.08,38,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"275",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,31,"traits     ",1,2214,7.7,35,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"276",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,36,"traits     ",1,1409,7.25,22,-1,19,1,22,"Selected",1506.04926365222,144.702623323315
"1043",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,1,"traits     ",1,1373,7.22,16,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1044",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,3,"traits     ",1,629,6.44,14,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1045",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,4,"traits     ",1,854,6.75,20,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1046",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,8,"traits     ",1,668,6.5,4,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1047",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,9,"traits     ",1,583,6.37,2,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1048",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,12,"traits     ",1,694,6.54,15,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1049",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,13,"traits     ",1,1222,7.11,19,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1050",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,14,"traits     ",1,838,6.73,17,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1051",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,15,"traits     ",1,1622,7.39,9,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1052",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,19,"traits     ",1,1177,7.07,6,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1053",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,29,"traits     ",1,1326,7.19,5,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1054",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,30,"traits     ",1,1907,7.55,12,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1055",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,34,"traits     ",1,2483,7.82,7,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"1056",60506,"14:09       ",2,1,1,1,2,14,14,2481.33,2796.5,37,"traits     ",1,1006,6.91,10,1,19,1,22,"Selected",1152.9205254925,163.411697039282
"161",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,19,"traits     ",1,1232,7.12,25,-1,25,1,21,"Selected",1199.81527721012,179.203994099193
"162",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,40,"traits     ",1,1286,7.16,34,-1,25,1,21,"Selected",1199.81527721012,179.203994099193
"780",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,5,"traits     ",1,777,6.66,4,1,25,1,21,"Selected",1050.25502097534,199.435352985703
"781",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,7,"traits     ",1,987,6.89,14,1,25,1,21,"Selected",1050.25502097534,199.435352985703
"782",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,12,"traits     ",1,1068,6.97,2,1,25,1,21,"Selected",1050.25502097534,199.435352985703
"783",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,14,"traits     ",1,979,6.89,15,1,25,1,21,"Selected",1050.25502097534,199.435352985703
"784",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,24,"traits     ",1,813,6.7,10,1,25,1,21,"Selected",1050.25502097534,199.435352985703
"785",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,29,"traits     ",1,937,6.84,19,1,25,1,21,"Selected",1050.25502097534,199.435352985703
"786",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,32,"traits     ",1,993,6.9,20,1,25,1,21,"Selected",1050.25502097534,199.435352985703
"787",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,36,"traits     ",1,1115,7.02,16,1,25,1,21,"Selected",1050.25502097534,199.435352985703
"788",60506,"15:08       ",2,1,-1,3,2,16,12,2804.5,2662.5,38,"traits     ",1,1383,7.23,12,1,25,1,21,"Selected",1050.25502097534,199.435352985703
"163",60606,"12:23       ",2,1,-1,4,2,7,9,1598.5,2152.17,1,"traits     ",1,1281,7.16,23,-1,11,2,21,"Selected",912.146720971207,135.197582686288
"164",60606,"12:23       ",2,1,-1,4,2,7,9,1598.5,2152.17,2,"traits     ",1,600,6.4,28,-1,11,2,21,"Selected",912.146720971207,135.197582686288
"165",60606,"12:23       ",2,1,-1,4,2,7,9,1598.5,2152.17,7,"traits     ",1,1081,6.99,34,-1,11,2,21,"Selected",912.146720971207,135.197582686288
"166",60606,"12:23       ",2,1,-1,4,2,7,9,1598.5,2152.17,10,"traits     ",1,556,6.32,37,-1,11,2,21,"Selected",912.146720971207,135.197582686288
"167",60606,"12:23       ",2,1,-1,4,2,7,9,1598.5,2152.17,12,"traits     ",1,827,6.72,27,-1,11,2,21,"Selected",912.146720971207,135.197582686288
"168",60606,"12:23       ",2,1,-1,4,2,7,9,1598.5,2152.17,21,"traits     ",1,917,6.82,24,-1,11,2,21,"Selected",912.146720971207,135.197582686288
"169",60606,"12:23       ",2,1,-1,4,2,7,9,1598.5,2152.17,24,"traits     ",1,812,6.7,25,-1,11,2,21,"Selected",912.146720971207,135.197582686288
