ID,pracword,valence,word,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant
201,,negative,insecure,,,,,0,0,0,22,,,,,up,0,0.77643013,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,antisocial,,,,,0,1,1,33,,,,,down,0,0.941252947,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,moody,,,,,0,2,2,30,,,,,down,0,0.79353714,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,impulsive,,,,,0,3,3,21,,,,,down,0,0.775604963,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,tense,,,,,0,4,4,26,,,,,down,0,0.726908922,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,tender,,,,,0,5,5,6,,,,,down,0,0.893244982,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,irritable,,,,,0,6,6,27,,,,,down,0,0.559097052,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,thrifty,,,,,0,7,7,2,,,,,up,0,0.809092999,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,brilliant,,,,,0,8,8,12,,,,,down,0,0.908303976,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,wise,,,,,0,9,9,19,,,,,up,0,0.977444172,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,boring,,,,,0,10,10,20,,,,,down,0,1.059674025,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,clumsy,,,,,0,11,11,23,,,,,up,0,0.826735973,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,anxious,,,,,0,12,12,35,,,,,up,0,0.843029976,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,enthusiastic,,,,,0,13,13,16,,,,,up,0,0.840566874,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,ambitious,,,,,0,14,14,10,,,,,up,0,0.675525904,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,childish,,,,,0,15,15,29,,,,,down,0,1.026120901,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,outgoing,,,,,0,16,16,17,,,,,None,0,,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,fearful,,,,,0,17,17,24,,,,,up,0,1.559458017,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,courageous,,,,,0,18,18,15,,,,,up,0,1.175184965,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,confident,,,,,0,19,19,7,,,,,up,0,0.991899014,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,timid,,,,,0,20,20,28,,,,,down,0,0.976801157,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,tidy,,,,,0,21,21,4,,,,,down,0,1.060844898,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,persistent,,,,,0,22,22,13,,,,,up,0,0.75861001,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,forgetful,,,,,0,23,23,31,,,,,down,0,0.992153168,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,orderly,,,,,0,24,24,14,,,,,up,0,0.792772055,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,talented,,,,,0,25,25,0,,,,,up,0,0.990331173,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,messy,,,,,0,26,26,36,,,,,up,0,0.993607998,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,trusting,,,,,0,27,27,8,,,,,up,0,1.192473888,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,proud,,,,,0,28,28,11,,,,,up,0,1.343604088,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,disciplined,,,,,0,29,29,1,,,,,up,0,0.774923801,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,stubborn,,,,,0,30,30,39,,,,,up,0,0.626119852,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,inhibited,,,,,0,31,31,25,,,,,up,0,1.075531006,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,neat,,,,,0,32,32,5,,,,,down,0,0.794030905,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,worrying,,,,,0,33,33,32,,,,,up,0,0.809218168,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,cynical,,,,,0,34,34,37,,,,,up,0,0.659615994,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,gullible,,,,,0,35,35,34,,,,,down,0,0.742600918,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,idealistic,,,,,0,36,36,3,,,,,up,0,0.625544786,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,negative,withdrawn,,,,,0,37,37,38,,,,,down,0,0.958754063,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,artistic,,,,,0,38,38,9,,,,,down,0,0.875257015,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
201,,positive,inventive,,,,,0,39,39,18,,,,,up,0,0.742246151,2016_Sep_30_1104,60.00632353,heterogeneity160929b,1,201
