"Subj","Cond","Block","Trial","Order","quadrant","eye","face","emotion","Resp","Name","Stim","RT","Correct","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","emo1","emo2","trial.r"
1,1,1,1,14,1,1,1,1,30,"A         ","""mask8.avi (170x170)""",1381,"True ",1,0.9375,"Selected",-0.787483863,0,1,0,0
1,1,1,2,36,1,1,1,1,30,"A         ","""mask1.avi (170x170)""",1539,"True ",1,0.9375,"Selected",-0.592847384,0,1,0,1
1,1,1,3,50,1,1,1,2,30,"A         ","""mask1.avi (170x170)""",1042,"True ",1,0.9375,"Selected",-1.205089979,0,0,1,2
1,1,1,4,30,1,1,1,2,30,"A         ","""mask8.avi (170x170)""",2139,"True ",1,0.9375,"Selected",0.146278484,0,0,1,3
1,1,1,5,89,1,1,1,3,30,"A         ","""mask2.avi (170x170)""",2607,"True ",1,0.9375,"Selected",0.722796662,0,0,0,4
1,1,1,6,39,1,1,1,3,30,"A         ","""mask4.avi (170x170)""",1908,"True ",1,0.9375,"Selected",-0.138284975,0,0,0,5
1,1,1,7,41,1,1,2,1,30,"A         ","""mask4.avi (170x170)""",1563,"True ",1,0.9375,"Selected",-0.563282349,0,1,0,6
1,1,1,8,190,1,1,2,1,30,"A         ","""mask9.avi (170x170)""",3568,"True ",1,0.9375,"Selected",1.906629928,0,1,0,7
1,1,1,9,26,1,1,2,2,30,"A         ","""mask4.avi (170x170)""",1858,"True ",1,0.9375,"Selected",-0.199878797,0,0,1,8
1,1,1,10,57,1,1,2,2,30,"A         ","""mask2.avi (170x170)""",1180,"True ",1,0.9375,"Selected",-1.035091029,0,0,1,9
1,1,1,11,93,1,1,2,3,30,"A         ","""mask3.avi (170x170)""",1720,"True ",1,0.9375,"Selected",-0.369877747,0,0,0,10
1,1,1,13,85,1,1,3,1,30,"A         ","""mask4.avi (170x170)""",1876,"True ",1,0.9375,"Selected",-0.177705021,0,1,0,12
1,1,1,14,184,1,1,3,1,30,"A         ","""mask6.avi (170x170)""",1584,"True ",1,0.9375,"Selected",-0.537412944,0,1,0,13
1,1,1,15,197,1,1,3,2,30,"A         ","""mask4.avi (170x170)""",1592,"True ",1,0.9375,"Selected",-0.527557932,0,0,1,14
1,1,1,16,95,1,1,3,2,30,"A         ","""mask4.avi (170x170)""",1537,"True ",1,0.9375,"Selected",-0.595311137,0,0,1,15
1,1,1,17,186,1,1,3,3,30,"A         ","""mask7.avi (170x170)""",3298,"True ",1,0.9375,"Selected",1.574023287,0,0,0,16
1,1,1,18,63,1,1,3,3,30,"A         ","""mask7.avi (170x170)""",1701,"True ",1,0.9375,"Selected",-0.3932834,0,0,0,17
1,1,1,19,18,1,1,4,1,30,"A         ","""mask2.avi (170x170)""",1542,"True ",1,0.9375,"Selected",-0.589151755,0,1,0,18
1,1,1,20,58,1,1,4,1,30,"A         ","""mask2.avi (170x170)""",1649,"True ",1,0.9375,"Selected",-0.457340975,0,1,0,19
1,1,1,21,42,1,1,4,2,30,"A         ","""mask2.avi (170x170)""",1258,"True ",1,0.9375,"Selected",-0.939004666,0,0,1,20
1,1,1,22,194,1,1,4,2,30,"A         ","""mask7.avi (170x170)""",2660,"True ",1,0.9375,"Selected",0.788086114,0,0,1,21
1,1,1,23,20,1,1,4,3,30,"A         ","""mask7.avi (170x170)""",1566,"True ",1,0.9375,"Selected",-0.55958672,0,0,0,22
1,1,1,25,70,2,1,1,1,40,"APOSTROPHE","""mask5.avi (170x170)""",2573,"True ",1,0.9375,"Selected",0.680912863,0,1,0,24
1,1,1,26,113,2,1,1,1,40,"APOSTROPHE","""mask2.avi (170x170)""",1108,"True ",1,0.9375,"Selected",-1.123786133,0,1,0,25
1,1,1,27,109,2,1,1,2,40,"APOSTROPHE","""mask2.avi (170x170)""",2067,"True ",1,0.9375,"Selected",0.05758338,0,0,1,26
1,1,1,28,22,2,1,1,2,40,"APOSTROPHE","""mask8.avi (170x170)""",1202,"True ",1,0.9375,"Selected",-1.007989747,0,0,1,27
1,1,1,29,133,2,1,1,3,40,"APOSTROPHE","""mask4.avi (170x170)""",2609,"True ",1,0.9375,"Selected",0.725260415,0,0,0,28
1,1,1,30,103,2,1,1,3,40,"APOSTROPHE","""mask2.avi (170x170)""",1560,"True ",1,0.9375,"Selected",-0.566977979,0,0,0,29
1,1,1,31,67,2,1,2,1,40,"APOSTROPHE","""mask0.avi (170x170)""",2234,"True ",1,0.9375,"Selected",0.263306747,0,1,0,30
1,1,1,32,187,2,1,2,1,40,"APOSTROPHE","""mask2.avi (170x170)""",1734,"True ",1,0.9375,"Selected",-0.352631477,0,1,0,31
1,1,1,33,112,2,1,2,2,40,"APOSTROPHE","""mask3.avi (170x170)""",1806,"True ",1,0.9375,"Selected",-0.263936373,0,0,1,32
1,1,1,34,172,2,1,2,2,40,"APOSTROPHE","""mask2.avi (170x170)""",1495,"True ",1,0.9375,"Selected",-0.647049948,0,0,1,33
1,1,1,35,27,2,1,2,3,40,"APOSTROPHE","""mask1.avi (170x170)""",1398,"True ",1,0.9375,"Selected",-0.766541963,0,0,0,34
1,1,1,36,102,2,1,2,3,40,"APOSTROPHE","""mask6.avi (170x170)""",2449,"True ",1,0.9375,"Selected",0.528160183,0,0,0,35
1,1,1,37,129,2,1,3,1,40,"APOSTROPHE","""mask3.avi (170x170)""",2410,"True ",1,0.9375,"Selected",0.480117002,0,1,0,36
1,1,1,38,146,2,1,3,1,40,"APOSTROPHE","""mask4.avi (170x170)""",2741,"True ",1,0.9375,"Selected",0.887868106,0,1,0,37
1,1,1,39,156,2,1,3,2,40,"APOSTROPHE","""mask3.avi (170x170)""",1772,"True ",1,0.9375,"Selected",-0.305820172,0,0,1,38
1,1,1,40,122,2,1,3,2,40,"APOSTROPHE","""mask8.avi (170x170)""",3373,"True ",1,0.9375,"Selected",1.666414021,0,0,1,39
1,1,1,41,96,2,1,3,3,40,"APOSTROPHE","""mask3.avi (170x170)""",3685,"True ",1,0.9375,"Selected",2.050759473,0,0,0,40
1,1,1,43,56,2,1,4,1,40,"APOSTROPHE","""mask3.avi (170x170)""",1976,"True ",1,0.9375,"Selected",-0.054517377,0,1,0,42
1,1,1,44,107,2,1,4,1,40,"APOSTROPHE","""mask4.avi (170x170)""",1776,"True ",1,0.9375,"Selected",-0.300892666,0,1,0,43
1,1,1,46,31,2,1,4,2,40,"APOSTROPHE","""mask2.avi (170x170)""",1696,"True ",1,0.9375,"Selected",-0.399442782,0,0,1,45
1,1,1,47,198,2,1,4,3,40,"APOSTROPHE","""mask2.avi (170x170)""",1657,"True ",1,0.9375,"Selected",-0.447485963,0,0,0,46
1,1,1,48,73,2,1,4,3,40,"APOSTROPHE","""mask0.avi (170x170)""",1439,"True ",1,0.9375,"Selected",-0.716035029,0,0,0,47
1,1,1,49,13,3,1,1,1,53,"/         ","""mask5.avi (170x170)""",2206,"True ",1,0.9375,"Selected",0.228814206,0,1,0,48
1,1,1,50,29,3,1,1,1,53,"/         ","""mask3.avi (170x170)""",2275,"True ",1,0.9375,"Selected",0.313813681,0,1,0,49
1,1,1,51,165,3,1,1,2,53,"/         ","""mask6.avi (170x170)""",1496,"True ",1,0.9375,"Selected",-0.645818071,0,0,1,50
1,1,1,52,105,3,1,1,2,53,"/         ","""mask1.avi (170x170)""",2232,"True ",1,0.9375,"Selected",0.260842994,0,0,1,51
1,1,1,53,54,3,1,1,3,53,"/         ","""mask9.avi (170x170)""",2639,"True ",1,0.9375,"Selected",0.762216708,0,0,0,52
1,1,1,54,49,3,1,1,3,53,"/         ","""mask0.avi (170x170)""",2433,"True ",1,0.9375,"Selected",0.50845016,0,0,0,53
1,1,1,55,152,3,1,2,1,53,"/         ","""mask5.avi (170x170)""",3375,"True ",1,0.9375,"Selected",1.668877774,0,1,0,54
1,1,1,56,68,3,1,2,1,53,"/         ","""mask3.avi (170x170)""",2602,"True ",1,0.9375,"Selected",0.71663728,0,1,0,55
