"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r"
1,1,1,"folder/matchedM024IN.png",3,1.265852789,1,3,2,3,1,0.947916667,"Selected",-0.521858365,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,0
1,1,2,"folder/matchedM049IN.png",3,1.541979251,1,4,2,4,1,0.947916667,"Selected",-0.269924028,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,1
1,1,3,"folder/matchedM002.png  ",1,1.626291163,1,4,2,4,1,0.947916667,"Selected",-0.192998892,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,2
1,1,4,"folder/matchedM021.png  ",1,2.03366861,1,2,2,2,1,0.947916667,"Selected",0.178687205,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,3
1,1,5,"folder/matchedM067IN.png",4,2.438436483,1,3,1,3,1,0.947916667,"Selected",0.547992359,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,4
1,1,6,"folder/matchedM001IN.png",4,1.304743067,1,4,1,4,1,0.947916667,"Selected",-0.486375361,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,5
1,1,7,"folder/matchedM005SR.png",6,4.004759011,1,4,1,4,1,0.947916667,"Selected",1.97708548,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,6
1,1,8,"folder/matchedM072IN.png",3,2.980558886,1,1,2,1,1,0.947916667,"Selected",1.042618072,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,7
1,1,9,"folder/matchedM020SR.png",6,3.888131376,1,3,1,3,1,0.947916667,"Selected",1.870675882,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,8
1,1,10,"folder/matchedM024IN.png",4,1.366201003,1,1,1,1,1,0.947916667,"Selected",-0.430301907,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,9
1,1,11,"folder/matchedM006IN.png",4,4.642850013,1,1,1,1,1,0.947916667,"Selected",2.559271744,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,10
1,1,12,"folder/matchedM002IN.png",3,3.022531071,1,3,2,3,1,0.947916667,"Selected",1.080912969,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,11
1,1,13,"folder/matchedM067.png  ",1,2.260112383,1,1,2,1,1,0.947916667,"Selected",0.385291677,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,12
1,1,14,"folder/matchedM021SL.png",5,3.173565241,1,1,2,1,1,0.947916667,"Selected",1.21871466,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,13
1,1,15,"folder/matchedM001IN.png",3,1.095099237,1,3,2,3,1,0.947916667,"Selected",-0.677651774,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,14
1,1,16,"folder/matchedM016.png  ",2,0.973122765,1,1,1,1,1,0.947916667,"Selected",-0.788941585,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,15
1,1,17,"folder/matchedM008.png  ",1,1.119639046,1,3,2,3,1,0.947916667,"Selected",-0.655261958,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,16
