"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r","pred","logRT"
1,1,3,"folder/matchedM002.png  ",1,1.626291163,1,4,2,4,1,0.947916667,"Selected",-0.192998892,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,2,1.5475662747823,0.486302062130701
1,1,4,"folder/matchedM021.png  ",1,2.03366861,1,2,2,2,1,0.947916667,"Selected",0.178687205,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,3,1.5475662747823,0.709841359082201
1,1,7,"folder/matchedM005SR.png",6,4.004759011,1,4,1,4,1,0.947916667,"Selected",1.97708548,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,6,2.00003306419206,1.38748340667496
1,1,9,"folder/matchedM020SR.png",6,3.888131376,1,3,1,3,1,0.947916667,"Selected",1.870675882,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,8,2.00003306419206,1.35792867615078
1,1,13,"folder/matchedM067.png  ",1,2.260112383,1,1,2,1,1,0.947916667,"Selected",0.385291677,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,12,1.5475662747823,0.815414539038999
1,1,14,"folder/matchedM021SL.png",5,3.173565241,1,1,2,1,1,0.947916667,"Selected",1.21871466,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,13,2.00003306419206,1.154855637612
1,1,16,"folder/matchedM016.png  ",2,0.973122765,1,1,1,1,1,0.947916667,"Selected",-0.788941585,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,15,1.5475662747823,-0.0272450331209819
1,1,17,"folder/matchedM008.png  ",1,1.119639046,1,3,2,3,1,0.947916667,"Selected",-0.655261958,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,16,1.5475662747823,0.113006353006386
1,1,19,"folder/matchedM004.png  ",1,0.985056514,1,2,2,2,1,0.947916667,"Selected",-0.778053381,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,18,1.5475662747823,-0.0150562648366193
1,1,20,"folder/matchedM020.png  ",2,1.311868636,1,2,1,2,1,0.947916667,"Selected",-0.47987408,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,19,1.5475662747823,0.271452560509055
1,1,21,"folder/matchedM001SR.png",6,1.311592303,1,3,1,3,1,0.947916667,"Selected",-0.480126203,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,20,2.00003306419206,0.271241897566135
1,1,22,"folder/matchedM024SR.png",5,3.31242772,1,3,2,3,1,0.947916667,"Selected",1.345411053,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,21,2.00003306419206,1.19768137069691
1,1,23,"folder/matchedM072.png  ",2,1.876293335,1,2,1,2,1,0.947916667,"Selected",0.035099969,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,22,1.5475662747823,0.629298200301077
1,1,26,"folder/matchedM006.png  ",1,1.496127613,1,4,2,4,1,0.947916667,"Selected",-0.31175849,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,25,1.5475662747823,0.402880178721695
1,1,27,"folder/matchedM072.png  ",1,1.144860911,1,3,2,3,1,0.947916667,"Selected",-0.632249844,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,26,1.5475662747823,0.135283154518334
1,1,28,"folder/matchedM003SR.png",6,1.171691358,1,1,1,1,1,0.947916667,"Selected",-0.607770079,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,27,2.00003306419206,0.158448310056682
1,1,29,"folder/matchedM008.png  ",2,1.076883747,1,2,1,2,1,0.947916667,"Selected",-0.694271359,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,28,1.5475662747823,0.0740714508439697
1,1,31,"folder/matchedM049SL.png",5,3.412445955,1,1,2,1,1,0.947916667,"Selected",1.436666442,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,30,2.00003306419206,1.22742932302303
1,1,33,"folder/matchedM017.png  ",2,1.518628347,1,4,1,4,1,0.947916667,"Selected",-0.291229101,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,32,1.5475662747823,0.417807524157745
1,1,34,"folder/matchedM067SR.png",5,1.819456633,1,1,2,1,1,0.947916667,"Selected",-0.016757129,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,33,2.00003306419206,0.598537903216093
1,1,35,"folder/matchedM002.png  ",2,1.814140859,1,4,1,4,1,0.947916667,"Selected",-0.021607175,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,34,1.5475662747823,0.595611999725667
1,1,39,"folder/matchedM003SR.png",5,4.692631198,1,1,2,1,1,0.947916667,"Selected",2.604691476,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,38,2.00003306419206,1.54599344817132
